date,month,season,hour,year,holiday,temperature,feeling_temp,humidity,winspeed,casual,registered,count,work yes or not,am or pm,Day of the week
2011/1/1,1,winter,0,2011,no,3.28,3.0014000000000003,81,0,3,13,16,0,am,6
2011/1/1,1,winter,1,2011,no,2.34,1.9982000000000009,80,0,8,32,40,0,am,6
2011/1/1,1,winter,2,2011,no,2.34,1.9982000000000009,80,0,5,27,32,0,am,6
2011/1/1,1,winter,3,2011,no,3.28,3.0014000000000003,75,0,3,10,13,0,am,6
2011/1/1,1,winter,4,2011,no,3.28,3.0014000000000003,75,0,0,1,1,0,am,6
2011/1/1,1,winter,5,2011,no,3.28,1.0015999999999998,75,6.0032,0,1,1,0,am,6
2011/1/1,1,winter,6,2011,no,2.34,1.9982000000000009,80,0,2,0,2,0,am,6
2011/1/1,1,winter,7,2011,no,1.4000000000000004,1.0015999999999998,86,0,1,2,3,0,am,6
2011/1/1,1,winter,8,2011,no,3.28,3.0014000000000003,75,0,1,7,8,0,am,6
2011/1/1,1,winter,9,2011,no,7.040000000000001,7.000999999999998,76,0,8,6,14,0,am,6
2011/1/1,1,winter,10,2011,no,9.86,9.9974,76,16.997899999999998,12,24,36,0,am,6
2011/1/1,1,winter,11,2011,no,8.919999999999998,5.997799999999998,81,19.0012,26,30,56,0,am,6
2011/1/1,1,winter,12,2011,no,11.739999999999998,11.997200000000005,77,19.0012,29,55,84,0,am,6
2011/1/1,1,winter,13,2011,no,13.62,13.997,72,19.9995,47,47,94,0,pm,6
2011/1/1,1,winter,14,2011,no,13.62,13.997,72,19.0012,35,71,106,0,pm,6
2011/1/1,1,winter,15,2011,no,12.68,13.0004,77,19.9995,40,70,110,0,pm,6
2011/1/1,1,winter,16,2011,no,11.739999999999998,11.997200000000005,82,19.9995,41,52,93,0,pm,6
2011/1/1,1,winter,17,2011,no,12.68,13.0004,82,19.0012,15,52,67,0,pm,6
2011/1/1,1,winter,18,2011,no,11.739999999999998,11.997200000000005,88,16.997899999999998,9,26,35,0,pm,6
2011/1/1,1,winter,19,2011,no,11.739999999999998,11.997200000000005,88,16.997899999999998,6,31,37,0,pm,6
2011/1/1,1,winter,20,2011,no,10.8,11.000600000000002,87,16.997899999999998,11,25,36,0,pm,6
2011/1/1,1,winter,21,2011,no,10.8,11.000600000000002,87,12.998,3,31,34,0,pm,6
2011/1/1,1,winter,22,2011,no,10.8,11.000600000000002,94,15.0013,11,17,28,0,pm,6
2011/1/1,1,winter,23,2011,no,13.62,13.997,88,19.9995,15,24,39,0,pm,6
2011/1/2,1,winter,0,2011,no,13.62,13.997,88,19.9995,4,13,17,1,am,0
2011/1/2,1,winter,1,2011,no,12.68,13.0004,94,16.997899999999998,1,16,17,1,am,0
2011/1/2,1,winter,2,2011,no,11.739999999999998,11.997200000000005,100,19.0012,1,8,9,1,am,0
2011/1/2,1,winter,3,2011,no,13.62,13.997,94,12.998,2,4,6,1,am,0
2011/1/2,1,winter,4,2011,no,13.62,13.997,94,12.998,2,1,3,1,am,0
2011/1/2,1,winter,6,2011,no,11.739999999999998,11.997200000000005,77,19.9995,0,2,2,1,am,0
2011/1/2,1,winter,7,2011,no,10.8,11.000600000000002,76,12.998,0,1,1,1,am,0
2011/1/2,1,winter,8,2011,no,10.8,11.000600000000002,71,15.0013,0,8,8,1,am,0
2011/1/2,1,winter,9,2011,no,9.86,9.9974,76,15.0013,1,19,20,1,am,0
2011/1/2,1,winter,10,2011,no,8.919999999999998,7.000999999999998,81,15.0013,7,46,53,1,am,0
2011/1/2,1,winter,11,2011,no,8.919999999999998,5.997799999999998,71,16.997899999999998,16,54,70,1,am,0
2011/1/2,1,winter,12,2011,no,8.919999999999998,5.997799999999998,66,19.9995,20,73,93,1,am,0
2011/1/2,1,winter,13,2011,no,8.919999999999998,7.000999999999998,66,8.9981,11,64,75,1,pm,0
2011/1/2,1,winter,14,2011,no,8.919999999999998,7.000999999999998,76,12.998,4,55,59,1,pm,0
2011/1/2,1,winter,15,2011,no,7.98,5.997799999999998,81,11.0014,19,55,74,1,pm,0
2011/1/2,1,winter,16,2011,no,7.98,5.997799999999998,71,11.0014,9,67,76,1,pm,0
2011/1/2,1,winter,17,2011,no,7.98,5.997799999999998,56.99999999999999,12.998,7,58,65,1,pm,0
2011/1/2,1,winter,18,2011,no,8.919999999999998,5.997799999999998,46,22.0028,10,43,53,1,pm,0
2011/1/2,1,winter,19,2011,no,7.040000000000001,3.0014000000000003,42,30.0026,1,29,30,1,pm,0
2011/1/2,1,winter,20,2011,no,6.1,1.9982000000000009,39,23.9994,5,17,22,1,pm,0
2011/1/2,1,winter,21,2011,no,4.220000000000001,-0.9982,44,22.0028,11,20,31,1,pm,0
2011/1/2,1,winter,22,2011,no,3.28,-2.0014,44,19.9995,0,9,9,1,pm,0
2011/1/2,1,winter,23,2011,no,2.34,-0.9982,47,11.0014,0,8,8,1,pm,0
2011/1/3,1,winter,0,2011,no,2.34,-2.998,44,23.9994,0,5,5,1,am,1
2011/1/3,1,winter,1,2011,no,1.4000000000000004,-4.9978,44,27.9993,0,2,2,1,am,1
2011/1/3,1,winter,4,2011,no,-0.48,-6.9976,47,26.0027,0,1,1,1,am,1
